region,country_code,country,year,sex,hrs_unpaid_dom_care_work,prop_internet,hrs_dom_care_work,labor_force,prop_self_employed,prop_nat_parl,prop_female_judge,prop_family_worker,prop_employers,perc_industrial,perc_service,key
Developed regions,233,Estonia,1999,Female,4.78,NA,NA,31.05,3.68,10.9,NA,0.98,1.86,22.84,70.63,Developed regions--233--Estonia--1999--Female
Developed regions,233,Estonia,1999,Male,2.68,NA,NA,43,5.3,NA,NA,0.58,5.29,40.25,49.18,Developed regions--233--Estonia--1999--Male
Developed regions,233,Estonia,2009,Female,4.13,72.66,7.03,34.09,3.3,20.8,NA,0.18,1.75,19.42,77.92,Developed regions--233--Estonia--2009--Female
Developed regions,233,Estonia,2009,Male,2.58,72.01,6.1,43.79,5.35,NA,NA,0.18,6.04,43.83,50.35,Developed regions--233--Estonia--2009--Male
Developed regions,246,Finland,1999,Female,3.6,NA,NA,60.95,6.51,33.5,NA,0.76,2.31,14.19,81.15,Developed regions--246--Finland--1999--Female
Developed regions,246,Finland,1999,Female,3.93,NA,NA,60.95,6.51,33.5,NA,0.76,2.31,14.19,81.15,Developed regions--246--Finland--1999--Female
Developed regions,246,Finland,1999,Male,2.27,NA,NA,65.11,10.87,NA,NA,0.85,5.85,39.85,51.68,Developed regions--246--Finland--1999--Male
Developed regions,246,Finland,1999,Male,2.05,NA,NA,65.11,10.87,NA,NA,0.85,5.85,39.85,51.68,Developed regions--246--Finland--1999--Male
Developed regions,246,Finland,2009,Female,3.73,82.74,6.2,51.17,6.7,41.5,0.47,0.41,1.93,9.95,86.86,Developed regions--246--Finland--2009--Female
Developed regions,246,Finland,2009,Female,3.73,82.74,6.12,51.17,6.7,41.5,0.47,0.41,1.93,9.95,86.86,Developed regions--246--Finland--2009--Female
Developed regions,246,Finland,2009,Female,3.42,82.74,6.2,51.17,6.7,41.5,0.47,0.41,1.93,9.95,86.86,Developed regions--246--Finland--2009--Female
Developed regions,246,Finland,2009,Female,3.42,82.74,6.12,51.17,6.7,41.5,0.47,0.41,1.93,9.95,86.86,Developed regions--246--Finland--2009--Female
Developed regions,246,Finland,2009,Male,2.2,82.24,5.57,49.71,11.22,NA,NA,0.67,6.11,37.18,56.12,Developed regions--246--Finland--2009--Male
Developed regions,246,Finland,2009,Male,2.2,82.24,5.63,49.71,11.22,NA,NA,0.67,6.11,37.18,56.12,Developed regions--246--Finland--2009--Male
Developed regions,246,Finland,2009,Male,2.42,82.24,5.57,49.71,11.22,NA,NA,0.67,6.11,37.18,56.12,Developed regions--246--Finland--2009--Male
Developed regions,246,Finland,2009,Male,2.42,82.24,5.63,49.71,11.22,NA,NA,0.67,6.11,37.18,56.12,Developed regions--246--Finland--2009--Male
Developed regions,250,France,2009,Female,4.02,72.29,6.6,36.15,4.12,18.2,NA,1.01,2.18,10.29,87.32,Developed regions--250--France--2009--Female
Developed regions,250,France,2009,Female,4.02,72.29,7.53,36.15,4.12,18.2,NA,1.01,2.18,10.29,87.32,Developed regions--250--France--2009--Female
Developed regions,250,France,2009,Female,4.02,72.29,6.08,36.15,4.12,18.2,NA,1.01,2.18,10.29,87.32,Developed regions--250--France--2009--Female
Developed regions,250,France,2009,Female,3.87,72.29,6.6,36.15,4.12,18.2,NA,1.01,2.18,10.29,87.32,Developed regions--250--France--2009--Female
Developed regions,250,France,2009,Female,3.87,72.29,7.53,36.15,4.12,18.2,NA,1.01,2.18,10.29,87.32,Developed regions--250--France--2009--Female
Developed regions,250,France,2009,Female,3.87,72.29,6.08,36.15,4.12,18.2,NA,1.01,2.18,10.29,87.32,Developed regions--250--France--2009--Female
Developed regions,250,France,2009,Female,3.93,72.29,6.6,36.15,4.12,18.2,NA,1.01,2.18,10.29,87.32,Developed regions--250--France--2009--Female
Developed regions,250,France,2009,Female,3.93,72.29,7.53,36.15,4.12,18.2,NA,1.01,2.18,10.29,87.32,Developed regions--250--France--2009--Female
Developed regions,250,France,2009,Female,3.93,72.29,6.08,36.15,4.12,18.2,NA,1.01,2.18,10.29,87.32,Developed regions--250--France--2009--Female
Developed regions,250,France,2009,Male,2.4,70.84,7.47,42.94,7.41,NA,NA,0.26,6.56,33.66,62.06,Developed regions--250--France--2009--Male
Developed regions,250,France,2009,Male,2.4,70.84,5.92,42.94,7.41,NA,NA,0.26,6.56,33.66,62.06,Developed regions--250--France--2009--Male
Developed regions,250,France,2009,Male,2.4,70.84,6.43,42.94,7.41,NA,NA,0.26,6.56,33.66,62.06,Developed regions--250--France--2009--Male
Developed regions,250,France,2009,Male,2.22,70.84,7.47,42.94,7.41,NA,NA,0.26,6.56,33.66,62.06,Developed regions--250--France--2009--Male
Developed regions,250,France,2009,Male,2.22,70.84,5.92,42.94,7.41,NA,NA,0.26,6.56,33.66,62.06,Developed regions--250--France--2009--Male
Developed regions,250,France,2009,Male,2.22,70.84,6.43,42.94,7.41,NA,NA,0.26,6.56,33.66,62.06,Developed regions--250--France--2009--Male
Developed regions,250,France,2009,Male,2.32,70.84,7.47,42.94,7.41,NA,NA,0.26,6.56,33.66,62.06,Developed regions--250--France--2009--Male
Developed regions,250,France,2009,Male,2.32,70.84,5.92,42.94,7.41,NA,NA,0.26,6.56,33.66,62.06,Developed regions--250--France--2009--Male
Developed regions,250,France,2009,Male,2.32,70.84,6.43,42.94,7.41,NA,NA,0.26,6.56,33.66,62.06,Developed regions--250--France--2009--Male
Developed regions,250,France,1998,Female,4.6,NA,NA,31.69,4.11,10.9,NA,2.87,2.24,14.37,82.5,Developed regions--250--France--1998--Female
Developed regions,250,France,1998,Female,4.38,NA,NA,31.69,4.11,10.9,NA,2.87,2.24,14.37,82.5,Developed regions--250--France--1998--Female
Developed regions,250,France,1998,Female,4.57,NA,NA,31.69,4.11,10.9,NA,2.87,2.24,14.37,82.5,Developed regions--250--France--1998--Female
Developed regions,250,France,1998,Male,2.4,NA,NA,36.27,7.95,NA,NA,0.48,6.7,36.01,58.48,Developed regions--250--France--1998--Male
Developed regions,250,France,1998,Male,2.22,NA,NA,36.27,7.95,NA,NA,0.48,6.7,36.01,58.48,Developed regions--250--France--1998--Male
Developed regions,250,France,1998,Male,2.22,NA,NA,36.27,7.95,NA,NA,0.48,6.7,36.01,58.48,Developed regions--250--France--1998--Male
Developed regions,276,Germany,2001,Female,4.23,NA,NA,47.29,3.73,30.9,NA,2.13,2.66,17.91,80.02,Developed regions--276--Germany--2001--Female
Developed regions,276,Germany,2001,Female,4.23,NA,NA,47.29,3.73,30.9,NA,2.13,2.66,17.91,80.02,Developed regions--276--Germany--2001--Female
Developed regions,276,Germany,2001,Male,2.37,NA,NA,53.42,5.87,NA,NA,0.44,6.89,44.57,52.38,Developed regions--276--Germany--2001--Male
Developed regions,276,Germany,2001,Male,2.37,NA,NA,53.42,5.87,NA,NA,0.44,6.89,44.57,52.38,Developed regions--276--Germany--2001--Male
Developed regions,276,Germany,2012,Female,3.82,79.4,6.32,48.02,5.09,32.9,0.4,0.78,2.48,14.21,84.69,Developed regions--276--Germany--2012--Female
Developed regions,276,Germany,2012,Male,2.4,85.32,6.07,53.24,7.3,NA,NA,0.33,6.71,40.24,57.81,Developed regions--276--Germany--2012--Male
Developed regions,300,Greece,2013,Female,4.6,56.35,5.65,25.25,19.93,21,NA,7.72,4.25,7.52,79.01,Developed regions--300--Greece--2013--Female
Developed regions,300,Greece,2013,Female,4.6,56.35,6.58,25.25,19.93,21,NA,7.72,4.25,7.52,79.01,Developed regions--300--Greece--2013--Female
Developed regions,300,Greece,2013,Female,4.07,56.35,5.65,25.25,19.93,21,NA,7.72,4.25,7.52,79.01,Developed regions--300--Greece--2013--Female
Developed regions,300,Greece,2013,Female,4.07,56.35,6.58,25.25,19.93,21,NA,7.72,4.25,7.52,79.01,Developed regions--300--Greece--2013--Female
Developed regions,300,Greece,2013,Male,1.38,63.51,4.9,31.56,29.31,NA,NA,2.9,8.34,21.19,64.95,Developed regions--300--Greece--2013--Male
Developed regions,300,Greece,2013,Male,1.38,63.51,4.08,31.56,29.31,NA,NA,2.9,8.34,21.19,64.95,Developed regions--300--Greece--2013--Male
Developed regions,300,Greece,2013,Male,1.52,63.51,4.9,31.56,29.31,NA,NA,2.9,8.34,21.19,64.95,Developed regions--300--Greece--2013--Male
Developed regions,300,Greece,2013,Male,1.52,63.51,4.08,31.56,29.31,NA,NA,2.9,8.34,21.19,64.95,Developed regions--300--Greece--2013--Male
Developed regions,348,Hungary,1999,Female,4.68,NA,NA,34.86,8.24,8.3,NA,1.07,1.95,24.95,71.39,Developed regions--348--Hungary--1999--Female
Developed regions,348,Hungary,1999,Male,2.65,NA,NA,44.59,14.98,NA,NA,0.52,3.84,42.05,48.3,Developed regions--348--Hungary--1999--Male
Developed regions,348,Hungary,2009,Female,4.75,60.46,6.95,21.47,5.5,11.1,0.69,0.48,3.2,19.39,78.02,Developed regions--348--Hungary--2009--Female
Developed regions,348,Hungary,2009,Male,2.55,63.28,5.9,27.75,8.03,NA,NA,0.35,7.17,41.17,52.51,Developed regions--348--Hungary--2009--Male
Developed regions,372,Ireland,2005,Female,4.93,42.76,7.63,49.87,3.9,13.3,NA,0.9,2.33,11.89,86.8,Developed regions--372--Ireland--2005--Female
Developed regions,372,Ireland,2005,Male,2.15,40.48,7.25,56.61,15.72,NA,NA,0.59,8.04,39.18,51.52,Developed regions--372--Ireland--2005--Male
Developed regions,380,Italy,2008,Female,4.77,39.36,7.07,25.53,12.97,17.3,0.26,2.48,3.86,15.89,81.27,Developed regions--380--Italy--2008--Female
Developed regions,380,Italy,2008,Male,1.62,49.83,6.03,35.74,19.41,NA,NA,1.2,8.96,39.13,56.59,Developed regions--380--Italy--2008--Male
Developed regions,380,Italy,2002,Female,4.95,22.84,NA,30.9,7.66,9.8,NA,5.89,7.52,20.11,75.96,Developed regions--380--Italy--2002--Female
Developed regions,380,Italy,2002,Male,1.53,33.39,NA,39.6,13.37,NA,NA,2.97,14.97,38.54,55.93,Developed regions--380--Italy--2002--Male
Developed regions,392,Japan,2001,Female,3.57,NA,NA,46.35,7.11,7.3,NA,10.08,1.3,20.69,73.45,Developed regions--392--Japan--2001--Female
Developed regions,392,Japan,2001,Male,0.75,NA,NA,46.53,13.38,NA,NA,1.59,3.8,37.35,57.39,Developed regions--392--Japan--2001--Male
Developed regions,392,Japan,2006,Female,3.58,NA,6.57,45.2,6.03,9,0.14,7.62,1.1,17.33,77.24,Developed regions--392--Japan--2006--Female
Developed regions,392,Japan,2006,Male,0.63,NA,6.38,44.73,12.65,NA,NA,1.21,3.6,34.89,59.73,Developed regions--392--Japan--2006--Male
Developed regions,392,Japan,2011,Female,3.58,73.71,6.42,42.79,5.31,11.3,0.17,5.59,NA,2.68,38.56,Developed regions--392--Japan--2011--Female
Developed regions,392,Japan,2011,Male,0.7,84.77,6.2,41.47,11.61,NA,NA,0.96,NA,11.96,19.99,Developed regions--392--Japan--2011--Male
Developed regions,428,Latvia,2003,Female,3.75,NA,NA,32.35,5.05,21,NA,4.18,1.69,18.48,71.38,Developed regions--428--Latvia--2003--Female
Developed regions,428,Latvia,2003,Male,1.65,NA,NA,45.17,7.59,NA,NA,3.53,4.91,35.46,46.29,Developed regions--428--Latvia--2003--Male
Developed regions,440,Lithuania,2003,Female,4.48,NA,NA,28.81,12.04,10.6,NA,4.57,1.29,20.39,64.04,Developed regions--440--Lithuania--2003--Female
Developed regions,440,Lithuania,2003,Male,2.15,NA,NA,35.68,17.6,NA,NA,3.04,3.28,33.97,44.21,Developed regions--440--Lithuania--2003--Male
Developed regions,442,Luxembourg,2014,Female,3.47,NA,6.42,22.96,5.55,NA,NA,0.55,1.21,4.18,92.96,Developed regions--442--Luxembourg--2014--Female
Developed regions,442,Luxembourg,2014,Male,1.7,NA,5.88,29.59,6.06,NA,NA,0.42,3.42,16.04,79.85,Developed regions--442--Luxembourg--2014--Male
Developed regions,470,Malta,2002,Female,4.5,NA,NA,58.09,3.57,9.2,NA,0.15,1.37,22.11,77.82,Developed regions--470--Malta--2002--Female
Developed regions,470,Malta,2002,Male,1.68,NA,NA,62.55,13.32,NA,NA,0,5.4,35.75,60.89,Developed regions--470--Malta--2002--Male
Developed regions,498,Republic of Moldova,2011,Female,4.57,NA,7.53,20.28,20.1,18.8,0.37,4.42,0.45,12.31,63.55,Developed regions--498--Republic of Moldova--2011--Female
Developed regions,498,Republic of Moldova,2011,Male,2.47,NA,6.27,24.13,31.02,NA,NA,1.77,0.89,25.06,44.1,Developed regions--498--Republic of Moldova--2011--Male
Developed regions,528,Netherlands,1999,Female,3.87,NA,NA,68.05,5.93,36,NA,1.64,2.19,8.98,82.09,Developed regions--528--Netherlands--1999--Female
Developed regions,528,Netherlands,1999,Male,2.2,NA,NA,67.36,7.39,NA,NA,0.2,5.19,30.17,62.1,Developed regions--528--Netherlands--1999--Male
Developed regions,528,Netherlands,2003,Female,3.63,57.55,NA,73.08,5.93,36.7,NA,0.94,1.73,8,86.78,Developed regions--528--Netherlands--2003--Female
Developed regions,528,Netherlands,2003,Male,1.93,71.11,NA,74.04,8.4,NA,NA,0.19,5.04,28.07,64.62,Developed regions--528--Netherlands--2003--Male
Developed regions,528,Netherlands,2001,Female,3.6,NA,NA,72.44,6.63,36,NA,1.36,1.76,8.29,82.81,Developed regions--528--Netherlands--2001--Female
Developed regions,528,Netherlands,2001,Male,2.03,NA,NA,74.67,8.12,NA,NA,0.27,4.55,29.63,62.25,Developed regions--528--Netherlands--2001--Male
Developed regions,528,Netherlands,2006,Female,4.07,79.32,6.4,70.05,6.94,36.7,0.48,0.97,1.98,7.83,85.71,Developed regions--528--Netherlands--2006--Female
Developed regions,528,Netherlands,2006,Male,2.35,85.91,6.55,71.53,9.48,NA,NA,0.19,5.41,28.66,62.95,Developed regions--528--Netherlands--2006--Male
Developed regions,528,Netherlands,2011,Female,3.53,90.06,5.87,69.23,8.52,40.7,0.53,1.01,2.03,6,83.78,Developed regions--528--Netherlands--2011--Female
Developed regions,528,Netherlands,2011,Male,2.22,92.78,6.35,66.97,12.46,NA,NA,0.29,5.46,23.27,60.9,Developed regions--528--Netherlands--2011--Male
Developed regions,528,Netherlands,1997,Female,3.02,NA,NA,61.78,6.33,31.3,NA,2.11,1.97,8.65,81.59,Developed regions--528--Netherlands--1997--Female
Developed regions,528,Netherlands,1997,Male,1.82,NA,NA,64.33,8.13,NA,NA,0.32,5.32,30.63,60.32,Developed regions--528--Netherlands--1997--Male
Developed regions,554,New Zealand,2009,Female,4.33,79.62,6.72,58.09,7.53,33.6,NA,1.37,2.95,9.86,85.37,Developed regions--554--New Zealand--2009--Female
Developed regions,554,New Zealand,2009,Male,2.53,79.83,6.75,63.32,13.15,NA,NA,0.81,6.6,31.03,59.84,Developed regions--554--New Zealand--2009--Male
Developed regions,554,New Zealand,1998,Female,4.58,NA,NA,62.01,7.99,29.2,NA,1.4,4.8,13.29,80.69,Developed regions--554--New Zealand--1998--Female
Developed regions,554,New Zealand,1998,Male,2.65,NA,NA,67.87,14.8,NA,NA,0.49,10.06,32.87,56.14,Developed regions--554--New Zealand--1998--Male
Developed regions,578,Norway,2000,Female,3.63,NA,NA,63.79,3.34,36.4,NA,0.49,0.99,9.38,88.23,Developed regions--578--Norway--2000--Female
Developed regions,578,Norway,2000,Female,3.93,NA,NA,63.79,3.34,36.4,NA,0.49,0.99,9.38,88.23,Developed regions--578--Norway--2000--Female
Developed regions,578,Norway,2000,Male,2.68,NA,NA,68.19,7.24,NA,NA,0.28,2.36,32.66,61.23,Developed regions--578--Norway--2000--Male
Developed regions,578,Norway,2000,Male,2.33,NA,NA,68.19,7.24,NA,NA,0.28,2.36,32.66,61.23,Developed regions--578--Norway--2000--Male
Developed regions,578,Norway,2010,Female,3.3,91.55,5.8,56.85,3.04,39.6,0.35,0.25,1.11,6.99,91.93,Developed regions--578--Norway--2010--Female
Developed regions,578,Norway,2010,Female,3.3,91.55,6.85,56.85,3.04,39.6,0.35,0.25,1.11,6.99,91.93,Developed regions--578--Norway--2010--Female
Developed regions,578,Norway,2010,Female,3.83,91.55,5.8,56.85,3.04,39.6,0.35,0.25,1.11,6.99,91.93,Developed regions--578--Norway--2010--Female
Developed regions,578,Norway,2010,Female,3.83,91.55,6.85,56.85,3.04,39.6,0.35,0.25,1.11,6.99,91.93,Developed regions--578--Norway--2010--Female
Developed regions,578,Norway,2010,Male,3,95.19,7.17,56.59,7.44,NA,NA,0.16,3.11,31.13,64.88,Developed regions--578--Norway--2010--Male
Developed regions,578,Norway,2010,Male,3,95.19,6.37,56.59,7.44,NA,NA,0.16,3.11,31.13,64.88,Developed regions--578--Norway--2010--Male
Developed regions,578,Norway,2010,Male,2.37,95.19,7.17,56.59,7.44,NA,NA,0.16,3.11,31.13,64.88,Developed regions--578--Norway--2010--Male
Developed regions,578,Norway,2010,Male,2.37,95.19,6.37,56.59,7.44,NA,NA,0.16,3.11,31.13,64.88,Developed regions--578--Norway--2010--Male
Developed regions,616,Poland,2003,Female,4.93,NA,NA,31.87,14.13,20.2,NA,6.99,2.55,17.46,65.56,Developed regions--616--Poland--2003--Female
Developed regions,616,Poland,2003,Female,4.75,NA,NA,31.87,14.13,20.2,NA,6.99,2.55,17.46,65.56,Developed regions--616--Poland--2003--Female
Developed regions,616,Poland,2003,Male,2.62,NA,NA,40.36,21.02,NA,NA,3.92,4.81,37.87,42.9,Developed regions--616--Poland--2003--Male
Developed regions,616,Poland,2003,Male,2.37,NA,NA,40.36,21.02,NA,NA,3.92,4.81,37.87,42.9,Developed regions--616--Poland--2003--Male
Developed regions,616,Poland,2013,Female,4.4,61.94,6.9,27.91,10.88,23.7,0.64,4.71,2.85,16.08,72.94,Developed regions--616--Poland--2013--Female
Developed regions,616,Poland,2013,Male,2.38,63.86,6.7,38.39,17.1,NA,NA,2.17,5.28,42.1,45,Developed regions--616--Poland--2013--Male
Developed regions,620,Portugal,1999,Female,5.47,NA,NA,41.79,19.82,13,NA,2.76,3.23,23.3,62.41,Developed regions--620--Portugal--1999--Female
Developed regions,620,Portugal,1999,Female,4.68,NA,NA,41.79,19.82,13,NA,2.76,3.23,23.3,62.41,Developed regions--620--Portugal--1999--Female
Developed regions,620,Portugal,1999,Male,1.6,NA,NA,50.42,17.99,NA,NA,1.39,8.28,43.98,44.49,Developed regions--620--Portugal--1999--Male
Developed regions,620,Portugal,1999,Male,1.12,NA,NA,50.42,17.99,NA,NA,1.39,8.28,43.98,44.49,Developed regions--620--Portugal--1999--Male
Developed regions,642,Romania,2000,Female,4.8,NA,NA,37.01,16.84,7.3,NA,31.11,0.54,20.36,31.69,Developed regions--642--Romania--2000--Female
